      0   4.58968696487922311888e+00    -1.00000000000000000000e+00     0.0000000000e+00      
    246   8.06684978629072270417e-03     5.96988972850388635501e-15     7.8125000000e-03  grdl
    247   8.06495075352387826018e-03     4.29540969710669897182e-15     7.8125000000e-03  grdl
    248   8.06432378641507366379e-03     5.91868080512772133125e-15     1.5625000000e-02  grdl
    249   8.06159520187041747641e-03     4.65506826821023597135e-15     7.8125000000e-03  grdl
    250   8.05961264801232854516e-03     7.37959146885758130495e-15     7.8125000000e-03  grdl
    251   8.05935775526206953090e-03     3.44973509538819492048e-15     1.5625000000e-02  grdl
    252   8.05640324572585823926e-03     2.24242653373267352558e-15     7.8125000000e-03  grdl
    253   8.05432140842855283369e-03     3.59307887830339744885e-15     7.8125000000e-03  grdl
    254   8.05264154753044213153e-03     5.76477023994333765027e-15     7.8125000000e-03  grdl
    255   8.05127846451867551503e-03     2.67019447819894662801e-15     1.5625000000e-02  grdl
    256   8.04907891453480496546e-03     3.62192630457476210499e-15     7.8125000000e-03  grdl
    257   8.04734942490513589786e-03     4.30220346770466221327e-15     7.8125000000e-03  grdl
    258   8.04622627504750047300e-03     1.91934587969478327752e-15     1.5625000000e-02  grdl
    259   8.04388745887511281973e-03     3.66542737254322185035e-15     7.8125000000e-03  grdl
    260   8.04209838841398599874e-03     2.78946674277707609242e-15     7.8125000000e-03  grdl
    261   8.04125307193154573171e-03     3.53825843993484434426e-15     1.5625000000e-02  grdl
    262   8.03874978076808167915e-03     4.06680846451329943609e-15     7.8125000000e-03  grdl
    263   8.03688949794399698501e-03     1.95550372304635011861e-15     7.8125000000e-03  grdl
    264   8.03636640667450274922e-03     2.38956648469162888525e-15     1.5625000000e-02  grdl
    265   8.03366915368241771289e-03     6.15790223784840922079e-15     7.8125000000e-03  grdl
    266   8.03172406107107925144e-03     5.52864790385217977084e-15     7.8125000000e-03  grdl
    267   8.03157518389659846880e-03     2.16660293327281469299e-15     1.5625000000e-02  grdl
    268   8.02864947554675703612e-03     3.10169631973117529809e-15     7.8125000000e-03  grdl
    269   8.02660367457023668503e-03     5.41267379727176534193e-15     7.8125000000e-03  grdl
    270   8.02496311825755086200e-03     3.65492583119345067563e-15     7.8125000000e-03  grdl
    271   8.02369536177756879913e-03     5.12234956164707232836e-15     1.5625000000e-02  grdl
    272   8.02153026187894975518e-03     2.69397907960280164504e-15     7.8125000000e-03  grdl
    273   8.01983909062858532635e-03     2.19008170058727812241e-15     7.8125000000e-03  grdl
    274   8.01881230483938306497e-03     4.76368170018891386684e-15     1.5625000000e-02  grdl
    275   8.01650616167010054980e-03     3.10415077975955639936e-15     7.8125000000e-03  grdl
    276   8.01475433832511512111e-03     4.96997310068585224807e-15     7.8125000000e-03  grdl
    277   8.01400678496620721969e-03     1.34375436531569167833e-15     1.5625000000e-02  grdl
    278   8.01153416414659980127e-03     1.92784056956384598455e-15     7.8125000000e-03  grdl
    279   8.00970995607452884713e-03     2.41589235283335631619e-15     7.8125000000e-03  grdl
    280   8.00928645041710553232e-03     2.83132727603842286695e-15     1.5625000000e-02  grdl
    281   8.00661759868549587071e-03     3.52262046979953935136e-15     7.8125000000e-03  grdl
    282   8.00470728849918267134e-03     2.54618720248719262128e-15     7.8125000000e-03  grdl
    283   8.00466031571551647761e-03     3.82854782351056814996e-15     1.5625000000e-02  grdl
    284   8.00176042507952899052e-03     2.89344446792175059975e-15     7.8125000000e-03  grdl
    285   7.99974797204022931851e-03     5.17378008377841517844e-15     7.8125000000e-03  grdl
